repository,pr_number,author,title,created_at,merged_at,base_branch,lines_added,lines_deleted,total_lines_changed,files_changed
SchedulingHubApi,258,fspafahrenholtz,"Improve integration test performance",2024-12-24T17:07:00Z,2025-01-06T14:39:28Z,master,6,1,7,1
SchedulingHubApi,257,fspafahrenholtz,"FSP-10049 Allow multiple scheduling groups on an event",2024-12-24T15:52:19Z,2025-01-10T21:47:56Z,master,166,36,202,5
MaintenanceHubApi,971,danwatkins-fsp,"FSP-11171 Simplify generated SQL when creating work order from reminder template with part request",2025-03-28T16:43:17Z,2025-03-28T21:44:23Z,master,232,160,392,10
MaintenanceHubApi,970,danwatkins-fsp,"FSP-11111 Simplify part update generated SQL",2025-03-26T17:36:03Z,2025-03-28T21:17:19Z,master,45,52,97,5
MaintenanceHubApi,969,danwatkins-fsp,"FSP-6903 Fix cannot create work order from two MX reminders when part has image",2025-03-26T17:34:00Z,2025-03-28T21:14:15Z,master,93,19,112,5
MaintenanceHubApi,968,danwatkins-fsp,"FSP-11099 Simplify inventory location threshold alert recalc generated SQL on stock record changes",2025-03-26T14:51:09Z,2025-03-26T17:22:11Z,master,4,22,26,1
MaintenanceHubApi,967,danwatkins-fsp,"FSP-11110 Fix part tests and run on PR build",2025-03-25T16:36:33Z,2025-03-25T17:52:50Z,master,478,1568,2046,18
MaintenanceHubApi,966,danwatkins-fsp,"FSP-11100 Convert stock record unit tests to integration tests",2025-03-24T16:44:31Z,2025-03-24T19:20:08Z,master,814,1036,1850,7
MaintenanceHubApi,965,danwatkins-fsp,"FSP-11090 Require stock record guids on PATCH /partRequests reset picks request",2025-03-20T21:15:04Z,2025-03-24T19:26:50Z,master,40,7,47,3
MaintenanceHubApi,964,danwatkins-fsp,"FSP-11088 Fix cannot delete part request when part is deleted or inactive",2025-03-19T21:06:32Z,2025-03-19T22:25:42Z,master,143,114,257,5
MaintenanceHubApi,963,danwatkins-fsp,"FSP-11084 Return 400 instead of 500 when default maintenance location does not exist for POST /workOrders",2025-03-19T14:44:40Z,2025-03-19T22:20:55Z,master,41,12,53,5
MaintenanceHubApi,962,danwatkins-fsp,"FSP-11082 Return 400 instead of 500 when attachment does not exist for POST /stockRecords",2025-03-19T14:09:29Z,2025-03-19T22:12:11Z,master,13,0,13,2
MaintenanceHubApi,961,danwatkins-fsp,"Add CancellationToken to all MaintenanceHubApiClient methods",2025-03-18T19:45:28Z,2025-03-18T20:14:11Z,master,410,197,607,3
MaintenanceHubApi,960,danwatkins-fsp,"FSP-11067 Fix stock record tests and run on PR build",2025-03-17T17:08:42Z,2025-03-18T19:55:56Z,master,360,789,1149,13
MaintenanceHubApi,959,fspafahrenholtz,"FSP-11018 Attach primary key guid to attachment record",2025-03-11T21:32:53Z,2025-03-12T14:25:46Z,master,8,3,11,2
MaintenanceHubApi,958,danwatkins-fsp,"FSP-11003 Do not insert part request until work item is inserted when creating from template",2025-03-11T14:30:33Z,2025-03-11T18:15:50Z,master,7,6,13,1
MaintenanceHubApi,957,danwatkins-fsp,"FSP-10876 Make workItemGuid request property non-null on POST and PUT /partRequests",2025-03-03T23:07:00Z,2025-03-06T14:13:37Z,master,89,406,495,9
MaintenanceHubApi,956,fspafahrenholtz,"FSP-10773 Allow for attachments to Squawks",2025-03-02T05:33:30Z,2025-03-06T15:25:14Z,master,288,25,313,11
MaintenanceHubApi,955,fspafahrenholtz,"FSP-10771 Support Maintenance Reminder and Reminder Resolution attachments",2025-02-26T20:14:44Z,2025-03-04T18:49:07Z,master,1113,231,1344,26
MaintenanceHubApi,953,danwatkins-fsp,"Update Microsoft.ApplicationInsights.Profiler.AspNetCore to 2.7.2",2025-02-24T16:40:31Z,2025-02-24T16:46:07Z,master,1,1,2,1
MaintenanceHubApi,952,danwatkins-fsp,"FSP-10877 Update FSP-Packages to 15.80.0",2025-02-21T19:15:01Z,2025-02-21T19:42:13Z,master,94,11,105,3
MaintenanceHubApi,951,danwatkins-fsp,"FSP-10855 Require workItemGuid to be not null on POST and PUT /partRequests",2025-02-20T23:00:09Z,2025-02-21T16:12:16Z,master,96,33,129,3
